Type,Number,Transaction Date,Last Payment Date,Amt. Paid (USD)
Invoice,18502,04/16/2025,,0.00
Invoice,18553,04/16/2025,04/24/2025,5410.00
Invoice,18554,04/16/2025,04/24/2025,5410.00
Invoice,18555,04/16/2025,04/24/2025,5560.00
Invoice,18556,04/16/2025,04/24/2025,5560.00
Invoice,18557,04/16/2025,04/24/2025,5560.00
Invoice,18558,04/16/2025,04/24/2025,5560.00
Invoice,18559,04/16/2025,04/24/2025,5360.00
Invoice,18560,04/16/2025,04/24/2025,5425.00
Invoice,18561,04/16/2025,04/24/2025,5360.00
Invoice,18571,04/16/2025,04/24/2025,5360.00
Invoice,18572,04/16/2025,04/24/2025,5560.00
Invoice,18573,04/16/2025,04/24/2025,5360.00
Invoice,18575,04/16/2025,04/24/2025,5360.00
Invoice,18577,04/16/2025,04/24/2025,5425.00
Invoice,18579,04/16/2025,04/24/2025,5360.00
Invoice,18581,04/16/2025,04/24/2025,5360.00
Invoice,18500,04/16/2025,04/24/2025,9879.43
Invoice,18659,04/16/2025,04/30/2025,10968.56
Invoice,18498,04/16/2025,,0.00
